"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Nassir Little","POR",23,54,22,32,976.1,359,134,303,58,158,33,46,27,114,141,50,36,20,20,66,687,0,0
"Ryan Arcidiacono","POR",29,20,9,11,172.4,26,9,37,8,23,0,0,0,15,15,23,7,5,0,17,87,0,0
"Shaedon Sharpe","POR",20,80,32,48,1778.6,789,306,648,102,283,75,105,63,173,236,94,83,38,24,136,1316,0,0
"Skylar Mays","POR",25,6,1,5,188.8,92,34,68,12,26,12,13,2,17,19,50,10,6,1,11,201,1,0
"Trendon Watford","POR",22,62,26,36,1181.6,459,181,323,25,64,72,100,42,196,238,130,71,32,12,118,1001,3,0
"Alex Len","SAC",30,26,15,11,161.2,43,16,30,0,2,11,16,24,36,60,12,16,4,11,28,162,0,0
"Chima Moneke","SAC",27,2,1,1,7.9,2,1,2,0,0,0,2,2,0,2,1,2,0,0,2,4,0,0
"Chimezie Metu","SAC",26,66,41,25,689,321,129,219,9,38,54,73,47,151,198,40,32,22,21,81,716,0,0
"Davion Mitchell","SAC",24,80,47,33,1447,450,181,399,63,197,25,31,16,89,105,185,62,44,15,112,969,0,0
"De'Aaron Fox","SAC",25,73,44,29,2435.2,1826,682,1331,119,367,343,440,40,266,306,447,181,83,23,172,3001,11,0
"Deonte Burton","SAC",29,2,1,1,6.5,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Domantas Sabonis","SAC",27,79,47,32,2735.6,1510,577,938,31,83,325,438,251,722,973,573,230,65,39,279,3619,65,14
"Harrison Barnes","SAC",31,82,48,34,2662,1230,374,791,132,353,350,413,87,279,366,128,86,57,10,103,1976,0,0
"KZ Okpala","SAC",24,35,19,16,248,46,16,38,7,21,7,8,7,27,34,13,7,7,7,39,141,0,0
"Keegan Murray","SAC",22,80,47,33,2381.7,976,354,782,206,501,62,81,89,282,371,98,60,61,42,162,1817,4,0
"Keon Ellis","SAC",23,16,7,9,70.9,24,7,16,6,12,4,7,4,4,8,6,1,5,1,10,60,0,0
"Kessler Edwards","SAC",22,36,17,19,385.8,100,36,93,17,55,11,15,23,38,61,23,13,14,6,40,255,0,0
"Kevin Huerter","SAC",24,75,44,31,2202.8,1140,420,866,205,510,95,131,42,209,251,221,97,80,24,181,1988,0,0
"Malik Monk","SAC",25,77,47,30,1719.2,1041,357,796,143,398,184,207,32,171,203,298,146,49,20,125,1793,0,0
"Matthew Dellavedova","SAC",32,32,19,13,212.8,47,17,50,9,27,4,7,1,12,13,41,10,7,0,20,135,0,0
"Neemias Queta","SAC",23,5,1,4,28.7,12,6,9,0,0,0,2,5,6,11,1,1,0,2,7,32,0,0
"PJ Dozier","SAC",26,16,11,5,79.3,22,10,33,2,16,0,0,1,13,14,10,5,6,1,7,70,0,0
"Richaun Holmes","SAC",29,42,22,20,347.6,130,55,89,5,8,15,19,29,51,80,9,14,3,11,50,268,1,0
"Terence Davis","SAC",26,64,38,26,841,431,154,364,89,243,34,43,20,119,139,67,53,43,12,104,810,0,0
"Trey Lyles","SAC",27,74,43,31,1247.2,562,187,408,87,240,101,124,68,232,300,66,64,27,31,97,1131,1,0
"Alize Johnson","SAS",27,4,1,3,29.5,7,3,6,0,2,1,2,2,8,10,1,4,1,0,3,20,0,0
"Blake Wesley","SAS",20,37,9,28,669.1,184,69,215,20,52,26,44,12,70,82,98,65,25,5,67,454,0,0
"Charles Bassey","SAS",22,35,9,26,507.9,199,87,135,3,8,22,37,75,118,193,48,41,16,33,74,609,0,0
"Devin Vassell","SAS",22,38,12,26,1178.1,703,261,595,103,266,78,100,8,140,148,136,57,43,17,57,1208,0,0
"Devonte' Graham","SAS",28,73,31,42,1338.4,539,161,431,119,338,98,131,19,103,122,196,53,45,16,79,1109,0,0
"Dominick Barlow","SAS",20,28,5,23,407.6,110,46,86,0,4,18,25,46,56,102,24,15,10,19,56,340,2,0
"Doug McDermott","SAS",31,64,19,45,1314.2,654,239,523,123,298,53,70,23,115,138,91,58,13,6,118,955,0,0
"Gorgui Dieng","SAS",33,31,3,28,358.1,121,45,117,21,75,10,13,27,80,107,53,32,4,14,57,351,2,0
"Jeremy Sochan","SAS",20,56,15,41,1457.7,614,250,552,33,134,81,116,95,200,295,142,97,43,23,138,1282,2,0
"Jordan Hall","SAS",21,9,1,8,82.7,28,9,28,3,15,7,9,3,9,12,11,7,1,0,6,55,0,0
"Joshua Primo","SAS",20,4,3,1,93.4,28,9,26,3,12,7,9,2,11,13,18,11,1,2,8,69,0,0
"Julian Champagnie","SAS",22,17,7,10,320.1,165,59,130,33,82,14,17,10,50,60,10,11,6,5,26,274,1,0
"Keita Bates-Diop","SAS",27,67,18,49,1452.6,647,236,465,56,142,119,150,65,182,247,103,56,46,20,63,1240,0,0
"Keldon Johnson","SAS",23,63,17,46,2063.3,1385,503,1113,134,407,245,327,56,262,318,183,134,46,11,125,2078,5,0
"Khem Birch","SAS",30,20,9,11,161.8,43,19,32,1,2,4,5,8,17,25,7,8,5,5,24,106,0,0
"Malaki Branham","SAS",20,66,15,51,1549.6,673,269,611,77,255,58,70,28,153,181,127,76,33,7,115,1125,0,0
"Romeo Langford","SAS",23,43,14,29,844.3,297,121,259,16,61,39,56,57,57,114,50,30,24,13,67,590,0,0
"Sandro Mamukelashvili","SAS",24,43,23,20,659.7,263,97,230,30,99,39,57,70,115,185,62,35,14,12,52,621,2,0
"Stanley Johnson","SAS",27,30,5,25,469.5,174,65,122,18,40,26,39,22,73,95,67,33,16,6,48,422,0,0
"Tre Jones","SAS",23,68,20,48,1983.7,875,341,743,45,158,148,172,56,189,245,448,110,89,9,98,2025,6,2
"Zach Collins","SAS",25,63,20,43,1440.6,731,284,548,55,147,108,142,116,286,402,180,129,37,49,199,1612,9,0
"Chris Boucher","TOR",30,76,39,37,1523.5,712,261,529,62,189,128,168,157,264,421,29,41,47,64,143,1553,9,0
"Christian Koloko","TOR",23,58,29,29,801.8,182,72,150,1,12,37,59,84,87,171,31,20,21,57,128,648,0,0
"Dalano Banton","TOR",23,31,17,14,278.5,142,55,130,15,51,17,24,11,34,45,36,18,13,13,34,310,0,0
"Fred VanVleet","TOR",29,69,34,35,2535,1335,437,1112,207,606,254,283,30,250,280,495,140,123,38,193,2757,10,1
"Gary Trent Jr.","TOR",24,66,31,35,2118,1148,405,935,166,450,172,205,30,143,173,106,55,104,14,102,1814,0,0
"Jakob Poeltl","TOR",27,72,26,46,1906.1,897,389,618,0,1,119,201,236,417,653,197,125,66,86,195,2307,19,0
"Jeff Dowtin Jr.","TOR",26,25,17,8,258.7,61,25,57,5,16,6,9,6,17,23,31,5,9,3,13,166,0,0
"Joe Wieskamp","TOR",23,9,6,3,49.7,9,3,14,3,12,0,0,0,4,4,3,1,0,0,3,17,0,0
"Juancho Hernangomez","TOR",27,42,20,22,613.5,122,48,114,17,67,9,16,27,96,123,25,15,16,6,43,358,1,0
"Malachi Flynn","TOR",25,53,29,24,690.8,246,87,242,47,133,25,33,15,61,76,70,25,21,4,65,492,0,0
"O.G. Anunoby","TOR",25,67,33,34,2385.7,1124,421,885,142,367,140,167,95,237,332,131,132,128,50,200,2121,2,0
"Otto Porter Jr.","TOR",30,8,4,4,146.3,44,15,30,6,17,8,8,6,13,19,8,4,11,0,7,108,0,0
"Pascal Siakam","TOR",29,71,35,36,2652,1720,630,1313,93,287,367,474,131,425,556,415,169,65,36,228,3144,24,2
"Precious Achiuwa","TOR",23,55,30,25,1140.5,508,196,404,29,108,87,124,100,228,328,50,59,31,30,102,1101,10,0
"Ron Harper Jr.","TOR",23,9,6,3,47.5,20,8,16,3,9,1,1,3,4,7,4,0,0,1,3,37,0,0
"Scottie Barnes","TOR",21,77,38,39,2677.6,1179,463,1016,63,224,190,246,179,333,512,371,154,83,61,170,2628,15,1
"Thaddeus Young","TOR",35,54,23,31,795.5,240,108,198,6,34,18,26,71,95,166,75,42,54,5,88,687,0,0
"Will Barton","TOR",32,56,27,29,993,379,138,364,66,180,37,47,15,122,137,112,48,28,13,56,786,0,0
"Collin Sexton","UTA",24,48,24,24,1145.2,685,237,468,48,122,163,199,37,68,105,138,85,27,6,112,1032,1,0
"Damian Jones","UTA",28,41,12,29,477.4,142,55,86,10,17,22,29,42,80,122,15,23,8,21,55,375,1,0
"Frank Jackson","UTA",25,1,0,1,5,0,0,3,0,1,0,0,1,1,2,1,0,0,0,0,4,0,0
"Jarrell Brantley","UTA",27,4,0,4,39,22,8,14,4,9,2,2,1,5,6,3,2,0,2,3,38,0,0
"Johnny Juzang","UTA",22,18,6,12,232.3,87,35,104,15,63,2,4,8,31,39,8,3,4,3,13,164,0,0
"Jordan Clarkson","UTA",31,61,30,31,1988.3,1271,458,1031,155,459,200,245,72,174,246,270,186,33,13,120,1923,3,0
"Juan Toscano-Anderson","UTA",30,52,19,33,700.1,155,64,143,8,43,19,24,28,96,124,65,34,16,10,80,445,0,0
"Kelly Olynyk","UTA",32,68,28,40,1941.6,847,278,557,93,236,198,232,82,338,420,252,168,60,37,232,1852,9,0
"Kris Dunn","UTA",29,22,8,14,567.5,290,116,216,17,36,41,53,9,91,100,124,35,25,10,58,666,3,0
"Lauri Markkanen","UTA",26,66,32,34,2272.5,1691,571,1144,200,510,349,399,130,440,570,123,127,42,38,137,2673,28,0
"Leandro Bolmaro","UTA",22,14,8,6,68.5,6,3,20,0,4,0,0,4,3,7,7,7,3,1,10,30,0,0
"Luka Samanic","UTA",23,7,2,5,160.8,69,26,57,8,31,9,13,0,30,30,15,10,6,2,17,142,0,0
"Micah Potter","UTA",25,7,4,3,52.4,24,10,15,4,7,0,0,3,13,16,4,2,1,0,5,50,1,0
"Ochai Agbaji","UTA",23,59,29,30,1209.2,467,165,386,81,228,56,69,43,78,121,67,41,16,15,99,765,0,0
"Rudy Gay","UTA",36,56,29,27,815.6,293,109,288,33,131,42,49,33,130,163,57,37,19,18,68,648,0,0
"Simone Fontecchio","UTA",27,52,25,27,765.8,328,115,312,63,191,35,44,31,55,86,42,39,15,8,62,524,0,0
"Talen Horton-Tucker","UTA",22,65,30,35,1313.2,698,257,613,58,203,126,168,41,169,210,246,126,41,29,108,1403,2,0
"Udoka Azubuike","UTA",23,36,17,19,358.5,125,59,72,0,0,7,20,31,88,119,11,18,6,15,34,329,0,0
"Vernon Carey Jr.","UTA",22,11,8,3,28.5,6,2,8,0,0,2,2,3,8,11,3,2,2,2,5,34,0,0
"Walker Kessler","UTA",21,74,34,40,1703.2,679,298,414,1,3,82,159,231,389,620,69,58,26,173,169,2066,20,0
"Anthony Gill","WAS",30,59,21,38,624.6,195,71,132,4,29,49,67,37,62,99,34,15,7,12,70,407,0,0
"Bradley Beal","WAS",30,50,24,26,1672.9,1160,444,878,80,219,192,228,41,155,196,271,145,45,33,107,1891,2,0
"Corey Kispert","WAS",24,74,31,43,2093.3,820,291,585,163,384,75,88,33,174,207,87,55,32,9,97,1267,0,0
"Daniel Gafford","WAS",24,78,32,46,1604.2,705,289,395,0,0,127,187,163,270,433,84,85,33,99,187,1662,10,0
"Delon Wright","WAS",31,50,26,24,1221.2,369,138,291,41,119,52,60,58,122,180,194,44,92,17,59,1159,0,0
"Deni Avdija","WAS",22,76,33,43,2020.4,697,253,579,69,232,122,165,74,413,487,211,123,65,29,209,1757,11,0
"Devon Dotson","WAS",23,6,1,5,53.1,3,1,10,1,4,0,0,6,4,10,8,3,5,0,9,39,0,0
"Isaiah Todd","WAS",21,6,2,4,61.4,9,3,19,1,10,2,2,2,10,12,4,2,1,0,4,30,0,0
"Jamaree Bouyea","WAS",24,5,2,3,70.5,15,6,14,2,6,1,2,1,5,6,4,4,4,2,6,42,0,0
"Jay Huff","WAS",25,7,2,5,94.9,51,15,25,6,12,15,16,6,15,21,10,5,3,4,15,107,0,0
"Johnny Davis","WAS",21,28,10,18,422.6,163,66,171,17,70,14,27,10,55,65,28,17,10,8,48,320,0,0
"Jordan Goodwin","WAS",24,62,22,40,1105.4,407,158,353,38,118,53,69,57,148,205,168,57,58,26,95,1100,0,0
"Jordan Schakel","WAS",25,2,0,2,6.2,3,1,2,1,1,0,0,0,0,0,1,0,1,0,1,8,0,0
"Kendrick Nunn","WAS",27,70,30,40,963.4,496,191,450,79,223,35,41,15,94,109,90,66,28,7,66,801,0,0
"Kristaps Porzingis","WAS",27,65,27,38,2119.5,1505,507,1018,137,356,354,416,114,432,546,174,137,58,100,196,2758,20,0
"Kyle Kuzma","WAS",27,64,29,35,2238.9,1357,512,1142,160,481,173,237,55,408,463,239,190,36,29,145,2276,14,1
"Monte Morris","WAS",28,62,28,34,1696.1,636,247,515,78,204,64,77,26,184,210,326,60,43,13,75,1485,2,0
"Quenton Jackson","WAS",24,9,3,6,134.6,56,19,42,1,12,17,22,2,6,8,15,4,4,1,10,99,0,0
"Taj Gibson","WAS",38,49,21,28,480.4,168,65,125,8,24,30,42,32,61,93,34,26,15,12,84,386,0,0
"Xavier Cooks","WAS",27,10,2,8,125.8,38,17,28,0,1,4,10,16,22,38,6,8,6,4,13,115,1,0
