"PLAYER","TEAM","AGE","GP","W","L","MIN","PTS","FGM","FGA","X3PM","X3PA","FTM","FTA","OREB","DREB","REB","AST","TOV","STL","BLK","PF","FP","DD2","TD3"
"Orlando Robinson","MIA",22,31,18,13,425.1,116,47,89,0,6,22,31,48,78,126,25,16,12,12,53,361,0,0
"Tyler Herro","MIA",23,67,37,30,2335.4,1347,487,1109,203,537,170,182,27,333,360,280,158,51,16,101,2242,6,1
"Udonis Haslem","MIA",43,7,4,3,72.1,27,10,29,3,9,4,5,4,7,11,0,1,1,2,11,48,0,0
"Victor Oladipo","MIA",31,42,23,19,1105.6,449,160,403,70,212,59,79,16,112,128,146,87,57,12,99,942,0,0
"AJ Green","MIL",23,35,27,8,344.9,154,53,125,44,105,4,4,6,39,45,22,9,6,0,31,250,0,0
"Bobby Portis","MIL",28,70,47,23,1818.4,987,398,803,95,257,96,125,154,518,672,105,81,29,16,115,2005,38,0
"Brook Lopez","MIL",35,78,57,21,2372.5,1239,477,899,136,364,149,190,157,363,520,99,107,37,193,203,2595,11,0
"Giannis Antetokounmpo","MIL",28,63,47,16,2023.6,1959,707,1278,47,171,498,772,137,605,742,359,246,52,51,197,3451,46,6
"Goran Dragic","MIL",37,58,27,31,870,365,141,335,52,145,31,45,16,65,81,151,63,13,4,65,677,0,0
"Grayson Allen","MIL",27,72,53,19,1972.1,750,245,557,146,366,114,126,61,176,237,163,72,62,14,117,1435,0,0
"Jae Crowder","MIL",32,18,13,5,339.7,124,45,94,24,55,10,12,17,52,69,27,7,12,6,27,294,0,0
"Jevon Carter","MIL",27,81,57,24,1811.8,651,239,565,142,337,31,38,35,167,202,197,78,66,29,158,1396,1,0
"Joe Ingles","MIL",35,46,32,14,1043.5,317,108,248,83,203,18,21,13,115,128,150,55,33,6,74,758,1,0
"Jrue Holiday","MIL",33,67,50,17,2182.5,1290,490,1023,158,411,152,177,79,262,341,495,197,79,25,116,2557,16,0
"Khris Middleton","MIL",31,33,25,8,800.8,497,177,406,51,162,92,102,28,112,140,163,71,23,5,68,923,4,0
"Lindell Wigginton","MIL",25,7,4,3,86.7,50,18,37,6,18,8,9,0,7,7,14,12,0,2,7,73,1,0
"MarJon Beauchamp","MIL",22,52,34,18,701.4,266,96,243,47,142,27,37,38,77,115,35,45,21,7,70,496,0,0
"Meyers Leonard","MIL",31,9,6,3,113.7,43,14,29,7,18,8,9,12,22,34,1,6,2,0,16,85,1,0
"Pat Connaughton","MIL",30,61,43,18,1442.7,466,165,421,109,322,27,41,50,233,283,77,33,37,11,69,1032,2,0
"Serge Ibaka","MIL",33,16,11,5,185.4,66,26,54,6,18,8,13,15,29,44,4,11,2,7,23,141,0,0
"Thanasis Antetokounmpo","MIL",30,37,25,12,206.2,51,20,46,0,8,11,22,15,29,44,15,12,3,3,22,132,0,0
"Wesley Matthews","MIL",36,52,37,15,820.4,179,58,160,39,124,24,28,34,79,113,34,18,20,13,71,447,0,0
"Anthony Edwards","MIN",21,79,40,39,2841.5,1946,707,1541,213,578,319,422,47,411,458,350,259,125,58,186,3311,9,0
"Austin Rivers","MIN",30,52,25,27,1016.3,255,91,209,43,123,30,39,5,78,83,75,23,28,4,80,540,0,0
"Bryn Forbes","MIN",29,25,9,16,267.7,89,30,83,14,46,15,15,4,11,15,17,12,7,2,22,148,0,0
"Jaden McDaniels","MIN",22,79,41,38,2416.5,953,370,716,107,269,106,144,92,215,307,148,112,74,76,272,1881,0,0
"Jaylen Nowell","MIN",23,65,34,31,1251.7,704,280,625,67,232,77,99,36,134,170,132,65,42,5,101,1182,0,0
"Jordan McLaughlin","MIN",27,43,22,21,678.5,161,61,145,24,78,15,18,15,47,62,148,33,32,4,28,532,0,0
"Josh Minott","MIN",20,15,7,8,96.2,46,18,36,2,6,8,8,5,20,25,5,3,4,6,10,111,1,0
"Karl-Anthony Towns","MIN",27,29,15,14,957,602,212,428,60,164,118,135,48,188,236,140,86,20,17,111,1120,9,0
"Kyle Anderson","MIN",29,69,36,33,1956.6,647,252,495,43,105,100,136,66,302,368,335,103,78,63,146,1911,10,3
"Luka Garza","MIN",24,28,15,13,243.4,181,63,116,14,39,41,52,33,30,63,18,14,3,2,43,285,0,0
"Matt Ryan","MIN",26,34,15,19,310.2,122,40,108,32,84,10,12,4,22,26,16,7,5,1,27,188,0,0
"Mike Conley","MIN",35,67,34,33,2028.1,798,261,610,135,351,141,169,33,149,182,450,103,73,14,139,1849,6,0
"Nathan Knight","MIN",25,38,19,19,290.7,139,46,81,8,22,39,57,22,34,56,13,21,10,6,41,253,0,0
"Naz Reid","MIN",23,68,32,36,1250.9,781,310,577,75,217,86,127,73,260,333,77,92,42,53,176,1489,4,0
"Nickeil Alexander-Walker","MIN",24,59,29,30,883.9,363,131,295,61,159,40,60,15,86,101,108,55,32,21,88,750,0,0
"Rudy Gobert","MIN",31,70,34,36,2148.5,939,360,546,0,3,219,340,231,583,814,87,122,56,95,210,2377,35,0
"Taurean Prince","MIN",29,54,31,23,1192.5,493,177,379,74,194,65,77,15,117,132,84,69,28,15,123,837,0,0
"Wendell Moore Jr.","MIN",21,29,16,13,152.7,42,18,43,2,17,4,5,4,14,18,18,8,8,5,13,122,0,0
"Brandon Ingram","NOP",25,45,23,22,1538.1,1112,404,835,64,164,240,272,23,223,246,262,148,32,19,116,1805,6,2
"CJ McCollum","NOP",31,75,38,37,2649.2,1568,587,1344,211,543,183,238,55,273,328,429,183,70,38,153,2746,6,0
"Dereon Seabron","NOP",23,5,2,3,11.6,4,2,5,0,0,0,0,1,0,1,0,0,0,0,1,5,0,0
"Dyson Daniels","NOP",20,59,33,26,1042.1,227,87,208,27,86,26,40,36,152,188,134,57,43,11,99,759,0,0
"Garrett Temple","NOP",37,25,16,9,161.8,50,18,45,11,26,3,4,5,12,17,13,4,9,2,15,119,0,0
"Herbert Jones","NOP",24,66,31,35,1950.5,649,235,501,56,167,123,161,97,172,269,162,88,103,42,208,1562,0,0
"Jaxson Hayes","NOP",23,47,22,25,610.1,233,86,156,3,29,58,83,39,93,132,34,31,20,19,67,528,0,0
"Jonas Valanciunas","NOP",31,79,40,39,1968.2,1115,446,816,38,109,185,224,225,579,804,140,159,20,52,245,2347,43,0
"Jose Alvarado","NOP",25,61,30,31,1310,550,201,489,83,247,65,80,28,113,141,186,81,67,10,125,1148,0,0
"Josh Richardson","NOP",29,65,24,41,1529.6,654,239,554,107,293,69,81,41,134,175,174,86,69,20,117,1306,1,0
"Kira Lewis Jr.","NOP",22,25,11,14,234.8,114,40,88,15,34,19,22,5,28,33,23,10,10,2,24,214,0,0
